Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 84,CCC/N=C/1\S/C(=C\c2ccc(c(c2)Cl)OC[C@@H](CO)O)/C(=O)N1c1ccccc1C,C23H25ClN2O4S,460.97,31,12,0.30,8,5,2,130.19,107.66,2.60,3.08,3.78,2.20,2.90,3.44,-3.69,8.84e-02,2.03e-04,Soluble,-5.54,1.26e-03,2.89e-06,Moderately soluble,-1.90,5.45e+00,1.25e-02,Soluble,Low,No,No,No,No,Yes,No,No,-6.77,0,1,1,2,0,0.56,0,2,2,4.92
Molecule 85,OC(=O)[C@@H]1CCCN(C1)CCC=C(c1sccc1C)c1sccc1C,C20H25NO2S2,375.55,25,10,0.45,6,3,1,111.63,97.02,3.48,2.65,4.66,3.32,6.41,4.11,-3.74,6.87e-02,1.83e-04,Soluble,-4.34,1.72e-02,4.59e-05,Moderately soluble,-4.94,4.35e-03,1.16e-05,Moderately soluble,High,No,Yes,No,Yes,Yes,No,No,-6.71,0,0,0,0,0,0.55,0,0,1,3.98
Molecule 86,CCCNC[C@H](COc1ccccc1C(=O)CCc1ccccc1)O,C21H27NO3,341.44,25,12,0.38,11,4,2,100.42,58.56,3.48,3.31,3.24,2.54,4.55,3.42,-3.67,7.28e-02,2.13e-04,Soluble,-4.22,2.08e-02,6.08e-05,Moderately soluble,-6.91,4.19e-05,1.23e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,0,1,3.27
Molecule 87,CCOC(=O)CC[C@H](C[C@@H]1CCNC1=O)NC(=O)[C@@H](Cc1ccc(cc1)F)CC(=O)[C@H](C(C)C)NC(=O)c1noc(c1)C,C31H41FN4O7,600.68,43,11,0.55,19,9,3,159.53,156.70,4.41,3.16,3.09,1.58,5.65,3.58,-4.49,1.94e-02,3.23e-05,Moderately soluble,-6.12,4.55e-04,7.57e-07,Poorly soluble,-8.36,2.62e-06,4.36e-09,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.72,2,3,2,1,3,0.17,0,0,2,5.54
Molecule 88,COCCOC[C@@H](C(=O)Oc1ccc2c(c1)CCC2)CC1(CCCC1)C(=O)N[C@@H]1CC[C@@H](CC1)C(=O)O,C29H41NO7,515.64,37,6,0.69,14,7,2,139.55,111.16,3.52,4.02,4.07,2.68,5.11,3.88,-4.77,8.85e-03,1.72e-05,Moderately soluble,-6.06,4.52e-04,8.77e-07,Poorly soluble,-6.21,3.16e-04,6.12e-07,Poorly soluble,High,No,Yes,No,No,No,No,Yes,-6.59,1,3,1,0,0,0.56,0,1,3,4.96
Molecule 89,CCNC(=O)Nc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@@H]2[C@H]1O[C@H](O2)/C=C/c1ccccc1)COP(=O)(O)O,C22H25N6O8P,532.44,37,15,0.36,10,11,4,128.45,188.99,2.09,-0.38,1.17,0.09,-1.15,0.37,-2.54,1.53e+00,2.87e-03,Soluble,-3.13,3.99e-01,7.49e-04,Soluble,-3.04,4.87e-01,9.14e-04,Soluble,Low,No,Yes,No,No,No,No,Yes,-9.82,2,1,1,1,2,0.11,0,1,2,5.47
Molecule 90,CCCCC[C@@H](c1ccc(cc1)N1[C@@H](COCc2ccc(s2)C(=O)OC(C)C)CCC1=O)O,C26H35NO5S,473.62,33,11,0.54,13,5,1,135.40,104.31,3.94,4.94,4.78,3.01,6.36,4.61,-5.28,2.50e-03,5.28e-06,Moderately soluble,-6.87,6.42e-05,1.36e-07,Poorly soluble,-6.68,9.90e-05,2.09e-07,Poorly soluble,High,No,Yes,No,No,Yes,Yes,Yes,-5.68,0,1,1,0,0,0.55,0,0,3,4.51
Molecule 91,CCCc1ccc(c(c1)OC)COc1ccc2c(c1)CCC(=C2C)CN1CC(C1)C(=O)O,C27H33NO4,435.56,32,12,0.44,9,5,1,131.55,59.00,4.29,2.11,4.43,3.58,5.73,4.03,-3.55,1.22e-01,2.80e-04,Soluble,-2.98,4.56e-01,1.05e-03,Soluble,-7.45,1.53e-05,3.52e-08,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-7.46,0,1,0,0,0,0.55,0,0,2,4.30
Molecule 92,CC(OC(=O)CCC/C=C\C[C@H]1[C@@H](O)C[C@H]([C@@H]1/C=C/[C@H](COc1cccc(c1)C(F)(F)F)O)O)C,C26H35F3O6,500.55,35,6,0.58,14,9,3,126.17,96.22,4.05,4.06,5.58,3.02,5.24,4.39,-4.70,9.89e-03,1.98e-05,Moderately soluble,-5.78,8.21e-04,1.64e-06,Moderately soluble,-4.35,2.23e-02,4.46e-05,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-6.47,1,1,1,0,0,0.55,0,1,3,5.20
Molecule 93,CCCC[C@@H](C(=O)C(=O)Nc1ccn[nH]1)NC(=O)OCC1(CCC1)Cc1ccc(cc1)F,C23H29FN4O4,444.50,32,11,0.48,14,6,3,117.33,113.18,2.74,4.39,3.98,2.45,4.38,3.59,-4.69,9.03e-03,2.03e-05,Moderately soluble,-6.48,1.46e-04,3.28e-07,Poorly soluble,-7.16,3.08e-05,6.92e-08,Poorly soluble,High,No,Yes,Yes,Yes,Yes,Yes,Yes,-5.89,0,0,1,0,0,0.55,0,1,3,3.96
Molecule 94,OC[C@H]1O[C@H]([C@@H]([C@@H]1OP(=O)(OC[C@H]1O[C@H](C[C@@H]1O)n1cnc2c1ncnc2N)S)OC)n1ccc(=O)[nH]c1=O,C20H26N7O10PS,587.50,39,15,0.55,9,13,4,134.84,276.77,2.04,-2.55,-1.69,-2.55,-3.48,-1.64,-1.57,1.59e+01,2.71e-02,Very soluble,-2.72,1.13e+00,1.92e-03,Soluble,-0.94,6.75e+01,1.15e-01,Soluble,Low,No,Yes,No,No,No,No,Yes,-11.69,2,3,1,1,3,0.17,0,2,2,6.03
Molecule 95,O[C@H](Cn1c2ccc(cc2c2c1CCCC2)C)CNC1CCCCC1,C22H32N2O,340.50,25,9,0.64,5,2,2,105.90,37.19,3.72,4.29,4.11,3.38,4.55,4.01,-4.59,8.75e-03,2.57e-05,Moderately soluble,-4.78,5.60e-03,1.64e-05,Moderately soluble,-5.69,6.92e-04,2.03e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,No,-5.33,0,0,0,0,0,0.55,1,0,1,3.77
Molecule 96,COc1ccc(cc1)C[C@@H](C(=O)N[C@H](C(=O)N[C@H]([C@H]([C@H](CC(C)C)O)O)CC1CCCCC1)Cc1cnc[nH]1)NC(=O)CC(N)(C)C,C35H56N6O6,656.86,47,11,0.66,21,8,7,181.86,191.69,2.95,3.58,2.52,0.13,4.68,2.78,-4.96,7.28e-03,1.11e-05,Moderately soluble,-7.29,3.36e-05,5.11e-08,Poorly soluble,-7.34,3.00e-05,4.56e-08,Poorly soluble,Low,No,No,No,No,No,No,Yes,-7.77,3,3,2,1,4,0.17,0,0,3,6.19
Molecule 97,CC(C[C@H](NC(=O)c1cccc(c1)N)C[C@@H]([C@H](Cc1ccccc1)NC(=O)COc1c(C)cccc1C)O)C,C32H41N3O4,531.69,39,18,0.38,15,4,4,156.51,113.68,3.87,5.78,4.60,3.37,5.86,4.70,-6.13,3.95e-04,7.42e-07,Poorly soluble,-7.94,6.16e-06,1.16e-08,Poorly soluble,-9.38,2.19e-07,4.12e-10,Poorly soluble,High,No,Yes,No,Yes,No,No,Yes,-5.44,1,3,1,0,1,0.55,0,1,3,4.69
Molecule 98,CCOC(=O)[C@@H](N[C@H](C(=O)N1Cc2ccccc2C[C@H]1C(=O)O)C)CCc1ccccc1,C25H30N2O5,438.52,32,12,0.40,11,6,2,124.49,95.94,2.54,1.24,2.03,2.17,3.39,2.27,-2.89,5.63e-01,1.28e-03,Soluble,-2.85,6.16e-01,1.40e-03,Soluble,-5.89,5.70e-04,1.30e-06,Moderately soluble,High,No,Yes,No,No,No,No,Yes,-8.09,0,0,1,0,0,0.55,0,0,2,4.13
Molecule 99,CCCNC[C@@H](COc1ccccc1C(=O)CCc1ccccc1)O,C21H27NO3,341.44,25,12,0.38,11,4,2,100.42,58.56,3.30,3.31,3.24,2.54,4.55,3.39,-3.67,7.28e-02,2.13e-04,Soluble,-4.22,2.08e-02,6.08e-05,Moderately soluble,-6.91,4.19e-05,1.23e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,0,1,3.27
Molecule 100,O[C@H]1C[C@@H](O[C@@H]1COP(=O)(O)O)c1cc(C)c(cc1F)F,C12H15F2O6P,324.21,21,6,0.50,4,8,3,67.72,106.03,1.07,-0.03,2.09,0.71,1.41,1.05,-1.78,5.40e+00,1.66e-02,Very soluble,-1.75,5.81e+00,1.79e-02,Very soluble,-1.92,3.93e+00,1.21e-02,Soluble,High,No,No,No,No,No,No,No,-8.30,0,0,0,0,0,0.56,0,1,0,4.09
Molecule 101,OC[C@@H](COc1ccc(cc1)N1C(=S)N(C(=O)C1(C)C)c1ccc(c(c1)C(F)(F)F)C#N)O,C22H20F3N3O4S,479.47,33,12,0.32,7,8,2,123.92,129.12,3.45,2.90,3.62,1.71,4.29,3.19,-4.45,1.71e-02,3.57e-05,Moderately soluble,-5.27,2.56e-03,5.35e-06,Moderately soluble,-5.43,1.79e-03,3.74e-06,Moderately soluble,High,No,No,No,Yes,Yes,No,Yes,-7.17,0,0,0,0,0,0.55,0,1,1,3.73
Molecule 102,Nc1nc(NC[C@@H]2CC[C@H](CC2)CNCCCNC2CCCCC2)nc(c1)N1CCN(CC1)CCP(=O)(O)O,C27H51N8O3P,566.72,39,6,0.85,14,8,6,166.08,161.71,2.96,-0.09,1.53,1.49,0.51,1.28,-2.49,1.85e+00,3.26e-03,Soluble,-2.85,7.94e-01,1.40e-03,Soluble,-5.32,2.74e-03,4.83e-06,Moderately soluble,Low,No,Yes,No,No,No,No,No,-9.82,3,3,2,1,2,0.17,0,1,2,5.85
Molecule 103,CC(C[C@H](C(=O)NCC(=O)N1CCC(CC1)c1cc(nn1C)c1ccc(c(c1Cl)Cl)OCc1ccc(o1)C(=O)O)NC(=N)N)C,C30H37Cl2N7O6,662.56,45,16,0.43,15,8,5,173.60,188.80,3.51,3.58,3.45,1.41,3.48,3.09,-5.48,2.21e-03,3.34e-06,Moderately soluble,-7.23,3.89e-05,5.88e-08,Poorly soluble,-7.32,3.19e-05,4.81e-08,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.80,2,3,2,1,2,0.17,0,2,3,5.47
Molecule 104,N#Cc1ccc(cc1C(F)(F)F)N[C@@H]([C@](COc1ccc(cc1)[N+](=O)[O-])(O)C)O,C18H16F3N3O5,411.33,29,12,0.28,8,9,3,97.08,131.33,0.85,3.05,4.01,1.39,1.02,2.06,-4.09,3.34e-02,8.13e-05,Moderately soluble,-5.47,1.38e-03,3.36e-06,Moderately soluble,-4.71,8.02e-03,1.95e-05,Moderately soluble,Low,No,Yes,No,Yes,Yes,Yes,Yes,-6.64,0,0,0,0,0,0.55,0,3,2,3.61
Molecule 105,CCCNCC(COc1ccccc1C(=O)CCc1ccccc1)O,C21H27NO3,341.44,25,12,0.38,11,4,2,100.42,58.56,3.48,3.31,3.24,2.54,4.55,3.42,-3.67,7.28e-02,2.13e-04,Soluble,-4.22,2.08e-02,6.08e-05,Moderately soluble,-6.91,4.19e-05,1.23e-07,Poorly soluble,High,Yes,Yes,Yes,No,No,Yes,Yes,-6.03,0,0,1,0,0,0.55,0,0,1,3.27
Molecule 106,C#CCN([C@H](c1ccc(c(c1)F)C)CC1CC1)c1sc(c(n1)c1cc(C)c(cc1Cl)OC)C,C27H28ClFN2OS,483.04,33,17,0.37,8,3,0,137.49,53.60,5.24,8.01,7.63,5.57,9.03,7.10,-7.73,8.90e-06,1.84e-08,Poorly soluble,-8.99,4.96e-07,1.03e-09,Poorly soluble,-9.23,2.84e-07,5.89e-10,Poorly soluble,Low,No,Yes,No,No,Yes,Yes,No,-3.56,1,3,0,1,1,0.55,0,1,3,4.34
Molecule 107,Cc1cc(=O)n(c(c1)C1CCCCC1)OCOP(=O)(O)O,C13H20NO6P,317.27,21,6,0.62,5,6,2,77.07,107.80,1.71,0.84,1.70,1.59,0.81,1.33,-2.22,1.92e+00,6.06e-03,Soluble,-2.69,6.53e-01,2.06e-03,Soluble,-1.67,6.86e+00,2.16e-02,Soluble,High,No,Yes,No,No,No,No,No,-7.64,0,0,0,0,0,0.56,0,2,0,3.40
Molecule 108,CCOC(=O)C1(CCN(CC1)CCOCC1CCCO1)c1ccccc1,C21H31NO4,361.48,26,6,0.67,9,5,0,104.63,48.00,3.79,2.98,2.40,2.11,3.87,3.03,-3.54,1.05e-01,2.92e-04,Soluble,-3.65,8.06e-02,2.23e-04,Soluble,-5.12,2.75e-03,7.62e-06,Moderately soluble,High,Yes,No,No,No,No,Yes,Yes,-6.39,0,0,0,0,0,0.55,0,0,2,3.83
Molecule 109,COc1cccc2c1cc([nH]2)C(=O)N[C@H](C(=O)N[C@H](C(=O)COP(=O)(O)O)C[C@@H]1CCNC1=O)CC(C)C,C24H33N4O9P,552.51,38,9,0.50,15,9,6,140.35,205.96,0.72,0.51,0.63,-1.10,1.84,0.52,-2.77,9.34e-01,1.69e-03,Soluble,-4.41,2.17e-02,3.93e-05,Moderately soluble,-4.68,1.15e-02,2.08e-05,Moderately soluble,Low,No,No,No,No,No,No,No,-9.31,3,3,2,1,2,0.11,0,1,2,4.74
Molecule 110,OC(=O)CC[C@@H](C(=O)N(CCCC1CCCCC1)C)NC(=O)N(Cc1ccc(cc1)OP(=O)(O)O)CC(=O)O,C25H38N3O10P,571.56,39,6,0.60,18,10,5,141.42,203.82,1.58,1.85,2.65,0.75,0.71,1.51,-3.48,1.91e-01,3.35e-04,Soluble,-5.75,1.01e-03,1.77e-06,Moderately soluble,-2.82,8.73e-01,1.53e-03,Soluble,Low,No,Yes,No,Yes,No,No,No,-8.47,2,3,2,1,2,0.11,0,1,2,4.61
Molecule 111,CNC(=O)[C@H](N1CCc2c([C@@H]1CCc1ccc(cc1)C(F)(F)F)cc(c(c2)OC)OC)c1ccccc1,C29H31F3N2O3,512.56,37,18,0.34,10,7,1,139.87,50.80,4.11,6.01,5.86,3.97,6.25,5.24,-6.50,1.61e-04,3.13e-07,Poorly soluble,-6.85,7.16e-05,1.40e-07,Poorly soluble,-9.56,1.41e-07,2.74e-10,Poorly soluble,High,No,Yes,No,No,No,Yes,Yes,-5.16,1,3,0,0,1,0.55,0,0,3,4.24
Molecule 112,CCCC[C@@H](C(=O)N[C@H](C(=O)Nc1ccc(cc1)[N+](=O)[O-])CC(C)C)OP(=O)(O)O,C18H28N3O8P,445.40,30,6,0.56,14,8,4,112.72,180.59,1.88,2.07,2.54,0.31,-0.23,1.31,-3.13,3.30e-01,7.42e-04,Soluble,-5.49,1.44e-03,3.22e-06,Moderately soluble,-3.19,2.86e-01,6.41e-04,Soluble,Low,No,Yes,No,Yes,Yes,No,No,-7.55,1,0,2,1,1,0.11,0,3,2,4.17
Molecule 113,OC(=O)COc1ccc(cc1P(=O)(O)O)C[C@@H](C(=O)N[C@H]1CCCCN(C1=O)Cc1ccc(cc1)c1ccccc1)NC(=O)C,C32H36N3O9P,637.62,45,18,0.31,14,9,5,169.86,192.38,2.23,2.01,1.83,0.81,2.40,1.86,-4.43,2.36e-02,3.70e-05,Moderately soluble,-5.68,1.34e-03,2.10e-06,Moderately soluble,-7.37,2.70e-05,4.24e-08,Poorly soluble,Low,No,Yes,No,No,No,No,No,-8.76,2,3,2,1,2,0.11,0,1,2,5.05
Molecule 114,CCNCCc1ccc(cc1)CN(c1cc(OC)ccc1[C@@H]1CCc2c(C1)ccc(c2)O)CC,C30H38N2O2,458.63,34,18,0.40,10,3,2,142.57,44.73,4.51,6.30,5.70,4.37,6.48,5.47,-6.38,1.89e-04,4.13e-07,Poorly soluble,-7.03,4.30e-05,9.37e-08,Poorly soluble,-9.91,5.58e-08,1.22e-10,Poorly soluble,High,Yes,Yes,No,No,No,Yes,Yes,-4.62,1,3,0,0,1,0.55,0,0,3,4.07
Molecule 115,N#Cc1ccc(cc1C(F)(F)F)N1CCC[C@@H]1[C@H](C(F)(F)F)O,C14H12F6N2O,338.25,23,6,0.50,4,8,1,71.77,47.26,2.52,3.70,5.50,2.59,3.53,3.57,-4.20,2.15e-02,6.35e-05,Moderately soluble,-4.38,1.40e-02,4.14e-05,Moderately soluble,-3.91,4.13e-02,1.22e-04,Soluble,High,Yes,No,No,No,No,Yes,Yes,-5.74,0,0,0,0,0,0.55,0,0,1,3.07
Molecule 116,CCCCC[C@@H](/C=C/[C@H]1[C@H](O)C[C@H]2[C@@H]1C/C(=C/CCCC(=O)O)/O2)O,C20H32O5,352.47,25,0,0.75,10,5,3,98.26,86.99,3.42,2.94,3.41,1.98,3.41,3.03,-3.22,2.14e-01,6.06e-04,Soluble,-4.43,1.31e-02,3.73e-05,Moderately soluble,-2.21,2.17e+00,6.17e-03,Soluble,High,No,Yes,No,No,No,No,No,-6.36,0,0,0,0,0,0.56,0,1,2,5.32
Molecule 117,OC(=O)CC[C@@H](C(=O)O)NC(=O)N[C@H](C(=O)O)CCCCNC(=O)Nc1ccc(cc1)[123I],C19H25IN4O8,560.33,32,6,0.42,17,8,7,121.05,194.16,1.47,0.90,1.46,1.31,0.60,1.15,-2.90,7.09e-01,1.27e-03,Soluble,-4.56,1.53e-02,2.74e-05,Moderately soluble,-3.84,8.04e-02,1.44e-04,Soluble,Low,No,Yes,No,No,No,No,No,-9.08,3,1,2,1,3,0.11,0,1,2,3.95
Molecule 118,CN(CC/C=C(/CC/C=C(/CCC=C(C)C)\C)\C)CCO[P@@](=O)(OP(=O)(O)O)O,C19H37NO7P2,453.45,29,0,0.68,15,8,3,117.90,136.15,1.47,0.90,4.95,1.31,0.60,1.15,-2.90,7.09e-01,1.27e-03,Soluble,-4.56,1.53e-02,2.74e-05,Moderately soluble,-3.84,8.04e-02,1.44e-04,Soluble,Low,No,Yes,No,No,No,No,No,-9.08,3,1,2,1,3,0.11,0,1,2,3.95
Molecule 119,CCCCCC[P@@](=O)(OC[C@@H](Cc1ccccc1)C)O,C16H27O3P,298.36,20,6,0.62,10,3,1,85.58,56.34,3.43,4.02,4.65,3.42,3.61,3.83,-3.78,4.90e-02,1.64e-04,Soluble,-4.91,3.71e-03,1.24e-05,Moderately soluble,-5.23,1.77e-03,5.93e-06,Moderately soluble,High,Yes,Yes,No,No,No,Yes,Yes,-5.27,0,0,0,0,0,0.55,0,1,2,4.42
Molecule 120,COc1cc(CCNCC(COc2cccc(c2)C)O)ccc1OC,C20H27NO4,345.43,25,12,0.40,10,5,2,98.56,59.95,4.03,3.00,2.58,2.10,3.96,3.13,-3.57,9.36e-02,2.71e-04,Soluble,-3.92,4.12e-02,1.19e-04,Soluble,-6.41,1.36e-04,3.94e-07,Poorly soluble,High,Yes,Yes,No,No,No,Yes,No,-6.28,0,0,0,0,0,0.55,0,0,1,3.17
Molecule 121,N#Cc1ccc(cc1)c1csc(n1)[C@@H]([C@@](c1ccc(cc1F)F)(Cn1cncn1)OCOP(=O)(O)O)C,C23H20F2N5O5PS,547.47,37,22,0.22,10,11,2,128.27,181.43,2.02,2.39,5.07,1.50,3.95,2.98,-4.52,1.65e-02,3.02e-05,Moderately soluble,-5.84,7.89e-04,1.44e-06,Moderately soluble,-6.54,1.59e-04,2.90e-07,Poorly soluble,Low,No,Yes,No,No,No,No,Yes,-7.94,1,1,1,1,2,0.11,0,2,2,4.83
Molecule 122,[N-]=[N+]=N[C@H]1C[C@@H](O[C@@H]1COP(=O)(OP(=O)(O)O)O)n1cc(C)c(=O)[nH]c1=O,C10H15N5O10P2,427.20,27,6,0.60,7,13,4,83.55,246.75,-0.30,-2.14,-0.29,-2.67,-2.96,-1.67,-0.84,6.13e+01,1.44e-01,Very soluble,-2.51,1.31e+00,3.07e-03,Soluble,0.57,1.61e+03,3.76e+00,Soluble,Low,No,Yes,No,No,No,No,No,-10.43,1,0,1,1,3,0.11,1,4,1,4.75
Molecule 123,CC(CCNc1ncnc2c1ncn2[C@@H]1O[C@@H]([C@H]([C@H]1O)O)COP(=O)(O)O)C,C15H24N5O7P,417.35,28,9,0.67,8,10,5,97.71,181.89,1.14,-1.17,-0.50,-1.29,-1.84,-0.73,-1.40,1.66e+01,3.98e-02,Very soluble,-2.16,2.91e+00,6.97e-03,Soluble,-0.72,7.90e+01,1.89e-01,Soluble,Low,No,No,No,No,No,No,No,-9.68,1,1,1,1,1,0.11,0,1,2,4.84
Molecule 124,CCCCCCCOc1ccc(cc1C(F)(F)F)CCC(CO)(CO)N,C19H30F3NO3,377.44,26,6,0.68,13,7,3,96.04,75.71,3.62,3.85,4.82,3.03,4.96,4.06,-3.92,4.55e-02,1.21e-04,Soluble,-5.14,2.76e-03,7.31e-06,Moderately soluble,-5.94,4.34e-04,1.15e-06,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-5.87,0,0,1,0,0,0.55,0,0,3,3.08
Molecule 125,N#Cc1cc(ccc1OCC(C)C)c1nc(c(s1)C(=O)O)C,C16H16N2O3S,316.37,22,11,0.31,5,5,1,85.10,111.45,2.84,3.90,3.72,1.46,4.50,3.28,-4.30,1.59e-02,5.03e-05,Moderately soluble,-5.94,3.64e-04,1.15e-06,Moderately soluble,-4.61,7.80e-03,2.47e-05,Moderately soluble,High,No,No,Yes,Yes,Yes,No,No,-5.46,0,0,0,0,0,0.56,0,0,1,3.12
Molecule 126,O[C@@H]1[C@H](O)[C@H](O[C@H]1n1cc2c3c1ncnc3n(nc2N)C)COP(=O)(O)O,C13H17N6O7P,400.28,27,12,0.46,4,10,5,90.34,200.81,0.22,-3.27,-1.69,-2.04,-3.61,-2.08,-0.33,1.89e+02,4.71e-01,Very soluble,-0.37,1.69e+02,4.22e-01,Very soluble,0.86,2.88e+03,7.19e+00,Soluble,Low,No,No,No,No,No,No,No,-11.06,1,1,1,1,2,0.11,0,1,1,4.52
